"module name","license","repository"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.3","MIT","https://github.com/babel/babel"
"@babel/runtime@7.28.3","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.3","MIT","https://github.com/babel/babel"
"@babel/types@7.28.2","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/is-prop-valid@1.3.1","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/styled@11.14.1","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion.git#main"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion.git#main"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.30","MIT","https://github.com/jridgewell/sourcemaps"
"@mui/core-downloads-tracker@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/material@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@6.4.9","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/system@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.24","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.4.9","MIT","https://github.com/mui/material-ui"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@tanstack/query-core@5.85.5","MIT","https://github.com/TanStack/query"
"@tanstack/react-query@5.85.5","MIT","https://github.com/TanStack/query"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
